name,stars,created_at,pushed_at,age_days,days_since_push,merged_prs,releases,closed_issues,open_issues,total_issues,closed_ratio,language
codecrafters-io/build-your-own-x,539449,2018-05-09T12:03:18Z,2026-07-14T19:25:58Z,3018,30,157,0,677,267,944,0.7172,Markdown
sindresorhus/awesome,495380,2014-07-11T13:42:37Z,2026-06-30T18:21:16Z,4416,44,700,0,352,16,368,0.9565,
public-apis/public-apis,455952,2016-03-20T23:49:42Z,2026-08-13T21:07:34Z,3797,0,2131,0,911,10,921,0.9891,Python
freeCodeCamp/freeCodeCamp,453958,2014-12-24T17:49:19Z,2026-08-13T21:20:52Z,4250,0,29089,0,21888,171,22059,0.9922,TypeScript
EbookFoundation/free-programming-books,394337,2013-10-11T06:50:37Z,2026-08-11T12:11:06Z,4689,2,7417,0,1254,38,1292,0.9706,Python
openclaw/openclaw,386195,2025-11-24T10:16:47Z,2026-08-13T23:27:33Z,262,0,24610,233,43546,3396,46942,0.9277,TypeScript
nilbuild/developer-roadmap,364357,2017-03-15T13:45:52Z,2026-08-13T18:34:59Z,3438,0,4390,1,3183,1,3184,0.9997,TypeScript
donnemartin/system-design-primer,363651,2017-02-26T16:15:28Z,2026-03-20T01:52:19Z,3455,146,210,0,127,272,399,0.3183,Python
jwasham/coding-interview-university,358649,2016-06-06T02:34:12Z,2025-08-28T14:42:47Z,3720,350,415,0,455,81,536,0.8489,
vinta/awesome-python,313805,2014-06-27T21:00:06Z,2026-08-05T06:11:04Z,4430,8,738,0,0,0,0,0.0,Python
awesome-selfhosted/awesome-selfhosted,312457,2015-06-01T02:33:17Z,2026-08-12T18:50:03Z,4091,1,0,1,0,0,0,0.0,
practical-tutorials/project-based-learning,279064,2017-04-12T05:07:46Z,2026-08-10T07:04:22Z,3410,3,194,0,88,151,239,0.3682,Python
996icu/996.ICU,276627,2019-03-26T07:31:14Z,2025-08-22T06:01:29Z,2697,356,1071,0,0,0,0,0.0,
obra/superpowers,271733,2025-10-09T19:45:18Z,2026-08-13T00:36:31Z,308,0,167,12,693,150,843,0.8221,Shell
react/react,247235,2013-05-24T16:15:54Z,2026-08-13T15:44:43Z,4829,0,13033,132,13799,814,14613,0.9443,JavaScript
torvalds/linux,242759,2011-09-04T22:48:12Z,2026-08-13T16:41:49Z,5457,0,0,0,0,0,0,0.0,C
affaan-m/ECC,239961,2026-01-18T00:51:51Z,2026-08-13T22:58:25Z,207,0,991,15,667,37,704,0.9474,JavaScript
trimstray/the-book-of-secret-knowledge,238205,2018-06-23T10:43:14Z,2024-11-19T14:00:38Z,2973,632,122,0,0,0,0,0.0,
NousResearch/hermes-agent,230107,2025-07-22T22:22:28Z,2026-08-13T23:18:24Z,387,0,10528,25,10689,10659,21348,0.5007,Python
TheAlgorithms/Python,223730,2016-07-16T09:44:01Z,2026-08-03T18:44:56Z,3680,10,3088,0,1606,143,1749,0.9182,Python
mattpocock/skills,216364,2026-02-03T11:15:53Z,2026-08-13T09:06:37Z,191,0,86,7,300,325,625,0.48,Shell
vuejs/vue,210232,2013-07-29T03:24:51Z,2024-10-10T07:24:15Z,4763,672,1136,249,9670,365,10035,0.9636,TypeScript
ossu/computer-science,207965,2014-05-04T00:18:39Z,2026-07-14T05:38:25Z,4484,30,315,0,658,16,674,0.9763,HTML
multica-ai/andrej-karpathy-skills,202166,2026-01-27T03:53:13Z,2026-04-20T10:05:04Z,198,115,12,0,0,0,0,0.0,
n8n-io/n8n,200531,2019-06-22T09:24:21Z,2026-08-13T23:18:59Z,2609,0,19911,760,9649,338,9987,0.9662,TypeScript
anomalyco/opencode,197088,2025-04-30T20:08:00Z,2026-08-13T23:23:05Z,470,0,7104,860,19656,3925,23581,0.8336,TypeScript
tensorflow/tensorflow,197006,2015-11-07T01:19:20Z,2026-08-13T23:15:09Z,3932,0,48869,222,40897,781,41678,0.9813,C++
trekhleb/javascript-algorithms,196463,2018-03-24T07:47:04Z,2026-07-26T02:43:08Z,3064,18,309,0,238,135,373,0.6381,JavaScript
ultraworkers/claw-code,195075,2026-03-31T08:58:08Z,2026-08-06T11:18:35Z,135,7,141,0,2195,16,2211,0.9928,Rust
DigitalPlatDev/FreeDomain,192626,2024-05-30T13:23:00Z,2026-08-12T10:36:46Z,805,1,0,0,0,0,0,0.0,Markdown
ohmyzsh/ohmyzsh,189161,2009-08-28T18:15:37Z,2026-08-11T11:03:43Z,6194,2,3650,0,4926,151,5077,0.9703,Shell
microsoft/vscode,188667,2015-09-03T20:23:38Z,2026-08-13T23:24:22Z,3997,0,51876,233,233332,17394,250726,0.9306,TypeScript
massgravel/Microsoft-Activation-Scripts,186937,2020-01-12T23:03:34Z,2026-07-04T16:54:38Z,2405,40,7,31,1065,4,1069,0.9963,Batchfile
Significant-Gravitas/AutoGPT,186592,2023-03-16T09:21:07Z,2026-08-13T23:27:00Z,1246,0,4750,117,3639,300,3939,0.9238,Python
jackfrued/Python-100-Days,185177,2018-03-01T16:05:52Z,2026-07-29T15:18:29Z,3087,15,13,0,192,537,729,0.2634,Jupyter Notebook
CyC2018/CS-Notes,185040,2018-02-13T14:56:24Z,2024-08-21T09:40:10Z,3103,722,374,0,449,130,579,0.7755,
getify/You-Dont-Know-JS,184656,2013-11-16T02:37:24Z,2026-02-15T04:36:44Z,4653,179,370,0,947,0,947,1.0,
yt-dlp/yt-dlp,184301,2020-10-26T04:22:55Z,2026-08-04T22:58:34Z,2117,9,3387,135,9922,1976,11898,0.8339,Python
avelino/awesome-go,180986,2014-07-06T13:42:15Z,2026-08-13T13:50:42Z,4421,0,3864,0,736,21,757,0.9723,Go
ollama/ollama,178476,2023-06-26T19:39:32Z,2026-08-13T22:38:02Z,1144,0,3517,241,8572,2378,10950,0.7828,Go
flutter/flutter,178389,2015-03-06T22:54:58Z,2026-08-13T23:27:50Z,4178,0,49544,7,102587,12556,115143,0.891,Dart
github/gitignore,175279,2010-11-08T20:17:14Z,2026-07-23T16:06:45Z,5757,21,1779,0,0,0,0,0.0,
twbs/bootstrap,174577,2011-07-29T21:19:00Z,2026-08-13T03:36:08Z,5494,0,9481,94,22838,102,22940,0.9956,MDX
microsoft/markitdown,173576,2024-11-13T19:56:40Z,2026-07-29T18:18:09Z,638,15,183,20,181,383,564,0.3209,Python
521xueweihan/HelloGitHub,170742,2016-05-04T06:24:11Z,2026-08-02T07:58:25Z,3753,11,17,68,2708,588,3296,0.8216,Python
anthropics/skills,168996,2025-09-22T15:53:31Z,2026-08-13T18:09:56Z,325,0,47,0,48,314,362,0.1326,Python
f/prompts.chat,167092,2022-12-05T13:54:13Z,2026-08-13T03:49:09Z,1347,0,237,0,152,20,172,0.8837,HTML
firecrawl/firecrawl,166959,2024-04-15T21:02:29Z,2026-08-13T22:37:45Z,850,0,1924,35,885,64,949,0.9326,TypeScript
AUTOMATIC1111/stable-diffusion-webui,164512,2022-08-22T14:05:26Z,2026-03-02T07:00:53Z,1452,164,1875,27,5491,2422,7913,0.6939,Python
huggingface/transformers,164078,2018-10-29T13:56:00Z,2026-08-13T23:08:17Z,2845,0,20150,268,18409,895,19304,0.9536,Python
jlevy/the-art-of-command-line,162102,2015-05-20T15:11:03Z,2024-06-25T18:13:44Z,4103,779,317,0,138,126,264,0.5227,
Snailclimb/JavaGuide,157769,2018-05-07T13:27:00Z,2026-08-08T06:58:19Z,3020,5,1268,0,1098,57,1155,0.9506,JavaScript
langflow-ai/langflow,153197,2023-02-08T22:28:03Z,2026-08-13T23:26:05Z,1282,0,7244,303,3203,213,3416,0.9376,Python
langgenius/dify,152366,2023-04-12T07:40:24Z,2026-08-13T20:37:44Z,1219,0,13277,168,18323,288,18611,0.9845,TypeScript
open-webui/open-webui,148713,2023-10-06T22:08:27Z,2026-08-13T23:26:41Z,1042,0,4027,167,9142,196,9338,0.979,Python
airbnb/javascript,148149,2012-11-01T23:13:50Z,2026-04-16T19:24:09Z,5033,119,822,0,1315,101,1416,0.9287,JavaScript
Genymobile/scrcpy,147576,2017-11-21T18:00:27Z,2026-07-12T18:16:07Z,3187,32,153,52,3356,2788,6144,0.5462,C
msitarzewski/agency-agents,145170,2025-10-13T12:12:29Z,2026-08-06T13:29:47Z,304,7,222,0,87,56,143,0.6084,Shell
langchain-ai/langchain,144185,2022-10-17T02:58:36Z,2026-08-13T23:23:03Z,1396,0,17232,1000,9633,331,9964,0.9668,Python
x1xhlol/system-prompts-and-models-of-ai-tools,142809,2025-03-05T16:38:29Z,2026-08-11T13:01:09Z,526,2,52,0,120,91,211,0.5687,
yangshun/tech-interview-handbook,141847,2016-07-05T05:00:48Z,2026-08-07T12:06:42Z,3691,6,494,0,92,34,126,0.7302,TypeScript
vercel/next.js,141770,2016-10-05T23:32:51Z,2026-08-13T23:27:01Z,3598,0,28161,1000,23039,2119,25158,0.9158,JavaScript
anthropics/claude-code,141360,2025-02-22T17:41:21Z,2026-08-13T08:38:50Z,537,0,161,187,68536,15288,83824,0.8176,Python
ytdl-org/youtube-dl,140955,2010-10-31T14:35:07Z,2026-02-19T16:45:25Z,5765,175,1646,341,23204,3627,26831,0.8648,Python
microsoft/PowerToys,137738,2019-05-01T17:44:02Z,2026-08-13T23:18:14Z,2661,0,6983,138,33723,7336,41059,0.8213,C
clash-verge-rev/clash-verge-rev,137612,2023-11-21T18:24:03Z,2026-08-13T17:15:29Z,996,0,1006,67,5390,396,5786,0.9316,TypeScript
iptv-org/iptv,135767,2018-11-14T22:00:57Z,2026-08-13T14:33:11Z,2829,0,6984,0,34187,52,34239,0.9985,TypeScript
golang/go,135747,2014-08-19T04:33:40Z,2026-08-13T23:19:12Z,4377,0,1,0,63108,9714,72822,0.8666,Go
labuladong/fucking-algorithm,135333,2020-02-19T09:01:23Z,2026-02-28T10:07:31Z,2367,166,244,0,975,5,980,0.9949,Markdown
Shubhamsaboo/awesome-llm-apps,132501,2024-04-29T05:30:25Z,2026-08-13T18:45:25Z,836,0,240,0,167,5,172,0.9709,Python
ripienaar/free-for-dev,131696,2015-03-18T21:06:26Z,2026-08-13T13:29:44Z,4166,0,3075,0,0,0,0,0.0,HTML
excalidraw/excalidraw,129541,2020-01-02T01:04:43Z,2026-08-13T15:55:10Z,2415,0,3959,15,2648,2260,4908,0.5395,TypeScript
krahets/hello-algo,129405,2022-11-04T11:08:34Z,2026-07-24T07:32:34Z,1378,20,994,10,278,13,291,0.9553,Java
Chalarangelo/30-seconds-of-code,128711,2017-11-29T17:35:03Z,2026-08-08T05:23:45Z,3179,5,855,12,300,0,300,1.0,JavaScript
garrytan/gstack,127878,2026-03-11T21:22:45Z,2026-08-13T17:43:31Z,155,0,298,0,337,411,748,0.4505,TypeScript
github/spec-kit,127413,2025-08-21T22:54:31Z,2026-08-13T21:56:12Z,357,0,1369,211,1337,153,1490,0.8973,Python
Comfy-Org/ComfyUI,127349,2023-01-17T03:15:56Z,2026-08-13T23:22:31Z,1304,0,3136,153,5026,4076,9102,0.5522,Python
farion1231/cc-switch,127012,2025-08-04T14:16:16Z,2026-08-13T18:40:21Z,374,0,440,50,3155,1434,4589,0.6875,Rust
react/react-native,126340,2015-01-09T18:10:16Z,2026-08-13T19:56:45Z,4234,0,999,471,27094,682,27776,0.9754,C++
kubernetes/kubernetes,124489,2014-06-06T22:56:04Z,2026-08-13T20:01:37Z,4451,0,65646,810,47699,1820,49519,0.9632,Go
ggml-org/llama.cpp,123826,2023-03-10T18:58:00Z,2026-08-13T22:47:13Z,1252,0,9668,1000,8703,708,9411,0.9248,C++
electron/electron,122491,2013-04-12T01:47:36Z,2026-08-13T23:26:23Z,4871,0,26499,1000,21132,684,21816,0.9686,C++
shadcn-ui/ui,121272,2023-01-04T12:43:27Z,2026-08-13T18:44:30Z,1317,0,1434,117,3169,1061,4230,0.7492,TypeScript
rustdesk/rustdesk,120353,2020-09-28T15:36:08Z,2026-08-13T12:22:41Z,2145,0,4198,39,4220,79,4299,0.9816,Rust
nodejs/node,118921,2014-11-26T19:57:11Z,2026-08-13T23:11:32Z,4278,0,13159,512,20051,703,20754,0.9661,JavaScript
