name,stars,created_at,pushed_at,age_days,days_since_push,merged_prs,releases,closed_issues,open_issues,total_issues,closed_ratio,language
codecrafters-io/build-your-own-x,541591,2018-05-09T12:03:18Z,2026-07-14T19:25:58Z,3025,37,157,0,677,273,950,0.7126,Markdown
sindresorhus/awesome,498211,2014-07-11T13:42:37Z,2026-08-18T13:28:50Z,4423,2,701,0,352,16,368,0.9565,
public-apis/public-apis,467128,2016-03-20T23:49:42Z,2026-08-19T21:44:19Z,3804,1,2153,0,910,30,940,0.9681,Python
freeCodeCamp/freeCodeCamp,454368,2014-12-24T17:49:19Z,2026-08-20T18:46:54Z,4257,0,29136,0,21916,164,22080,0.9926,TypeScript
EbookFoundation/free-programming-books,394863,2013-10-11T06:50:37Z,2026-08-18T14:16:15Z,4696,2,7424,0,1255,38,1293,0.9706,Python
openclaw/openclaw,386906,2025-11-24T10:16:47Z,2026-08-20T21:50:00Z,269,0,26653,234,44206,3534,47740,0.926,TypeScript
donnemartin/system-design-primer,365098,2017-02-26T16:15:28Z,2026-03-20T01:52:19Z,3462,153,210,0,127,275,402,0.3159,Python
nilbuild/developer-roadmap,365010,2017-03-15T13:45:52Z,2026-08-20T12:45:59Z,3445,0,4400,1,3185,0,3185,1.0,TypeScript
jwasham/coding-interview-university,359345,2016-06-06T02:34:12Z,2025-08-28T14:42:47Z,3727,357,415,0,455,81,536,0.8489,
vinta/awesome-python,315136,2014-06-27T21:00:06Z,2026-08-16T13:31:43Z,4437,4,741,0,0,0,0,0.0,Python
awesome-selfhosted/awesome-selfhosted,313948,2015-06-01T02:33:17Z,2026-08-20T18:45:11Z,4098,0,0,1,0,0,0,0.0,
practical-tutorials/project-based-learning,280124,2017-04-12T05:07:46Z,2026-08-17T06:46:47Z,3417,3,194,0,88,152,240,0.3667,Python
996icu/996.ICU,276730,2019-03-26T07:31:14Z,2025-08-22T06:01:29Z,2704,363,1072,0,0,0,0,0.0,
obra/superpowers,274892,2025-10-09T19:45:18Z,2026-08-19T17:33:23Z,315,1,167,12,755,102,857,0.881,Shell
react/react,247446,2013-05-24T16:15:54Z,2026-08-19T17:57:20Z,4836,1,13035,132,13801,823,14624,0.9437,JavaScript
torvalds/linux,243437,2011-09-04T22:48:12Z,2026-08-20T21:35:04Z,5463,0,0,0,0,0,0,0.0,C
affaan-m/ECC,241424,2026-01-18T00:51:51Z,2026-08-19T23:31:56Z,214,0,998,15,667,44,711,0.9381,JavaScript
trimstray/the-book-of-secret-knowledge,239413,2018-06-23T10:43:14Z,2024-11-19T14:00:38Z,2980,639,122,0,0,0,0,0.0,
NousResearch/hermes-agent,233514,2025-07-22T22:22:28Z,2026-08-20T21:50:28Z,393,0,11402,28,11384,11499,22883,0.4975,Python
mattpocock/skills,226237,2026-02-03T11:15:53Z,2026-08-20T10:35:33Z,198,0,94,7,311,369,680,0.4574,Shell
TheAlgorithms/Python,223902,2016-07-16T09:44:01Z,2026-08-03T18:44:56Z,3687,17,3088,0,1606,143,1749,0.9182,Python
vuejs/vue,210249,2013-07-29T03:24:51Z,2024-10-10T07:24:15Z,4770,679,1136,249,9670,364,10034,0.9637,TypeScript
ossu/computer-science,208250,2014-05-04T00:18:39Z,2026-07-14T05:38:25Z,4491,37,315,0,658,17,675,0.9748,HTML
multica-ai/andrej-karpathy-skills,204355,2026-01-27T03:53:13Z,2026-04-20T10:05:04Z,205,122,12,0,0,0,0,0.0,
n8n-io/n8n,201366,2019-06-22T09:24:21Z,2026-08-20T21:54:09Z,2616,0,20276,770,9712,344,10056,0.9658,TypeScript
anomalyco/opencode,199533,2025-04-30T20:08:00Z,2026-08-20T21:55:55Z,477,0,7409,861,20238,3986,24224,0.8355,TypeScript
tensorflow/tensorflow,197108,2015-11-07T01:19:20Z,2026-08-20T21:55:46Z,3939,0,48928,222,40941,760,41701,0.9818,C++
trekhleb/javascript-algorithms,196521,2018-03-24T07:47:04Z,2026-07-26T02:43:08Z,3071,25,309,0,238,135,373,0.6381,JavaScript
ultraworkers/claw-code,195088,2026-03-31T08:58:08Z,2026-08-16T06:18:45Z,142,4,143,0,2195,16,2211,0.9928,Rust
DigitalPlatDev/FreeDomain,194542,2024-05-30T13:23:00Z,2026-08-12T10:36:46Z,812,8,0,0,0,0,0,0.0,Markdown
ohmyzsh/ohmyzsh,189271,2009-08-28T18:15:37Z,2026-08-20T08:43:08Z,6201,0,3655,0,4925,154,5079,0.9697,Shell
